date,area,mu_hat,sigma_hat,mean,variance,skewness,kurtosis,rmse_price,B,K_star,n_calls,n_puts,Kmin_put,Kmax_call,sigma_max,lambda_anchor
2023-06-30,EU,-0.01775996801178084,0.3,1.0276144334982678,0.0994472359478264,0.949534907256536,4.644910405392265,0.20100955817308966,0.959963515432756,1.0276,3,4,0.99,1.05,0.3,2000.0
2023-07-31,EU,-0.017562766169964567,0.2979585340408233,1.0271899580189854,0.0979566627953554,0.942374657669796,4.61959369564793,0.21690017700475767,0.960626118830288,1.027175,3,4,0.99,1.05,0.3,2000.0
2023-08-31,EU,-0.0158253115152344,0.3,1.0296044388056296,0.09983277383237024,0.949534907256536,4.644910405392265,0.222339496970548,0.9609047408029822,1.029588,3,4,0.99,1.05,0.3,2000.0
2023-09-29,EU,-0.01676577062084009,0.3,1.0286365931169634,0.09964517303617888,0.949534907256536,4.644910405392265,0.2779919297084201,0.9593723600018154,1.028612,3,4,0.99,1.05,0.3,2000.0
2023-10-31,EU,-0.018842030247151823,0.3,1.0265030921059681,0.09923225246038216,0.949534907256536,4.644910405392265,0.150473156645553,0.9606914436273865,1.0265,3,4,0.99,1.05,0.3,2000.0
2023-11-30,EU,0.018705738001123053,0.01961297283830996,1.0190777711240824,0.0003995627957917372,0.058852124014851875,3.006158103914683,0.24347868695330996,0.962378937453658,1.019063,4,3,0.99,1.05,0.3,2000.0
2023-12-29,EU,-0.029179490176177634,0.3,1.0159463166565212,0.09720169671207525,0.949534907256536,4.644910405392265,0.16629607044046263,0.9660371383613352,1.015938,4,3,0.99,1.05,0.3,2000.0
2024-01-31,EU,0.016679318111148384,0.019612973653675266,1.0170147826219433,0.00039794674198787206,0.05885212646260876,3.0061581044269854,0.2570292077342783,0.9660496969257644,1.017,4,3,0.99,1.05,0.3,2000.0
2024-02-29,EU,-0.0234870296528814,0.3,1.0217460426522784,0.09831465379757627,0.949534907256536,4.644910405392265,0.1562637859868559,0.9636587893347318,1.02175,3,4,0.99,1.05,0.3,2000.0
2024-03-29,EU,-0.023014528507937903,0.3,1.022228932901387,0.09840760528331048,0.949534907256536,4.644910405392265,0.20773302084856807,0.9644801764844834,1.022238,3,4,0.99,1.05,0.3,2000.0
2024-04-30,EU,-0.023469372294029647,0.3,1.021764084148091,0.09831812581312752,0.949534907256536,4.644910405392265,0.20874543761198155,0.9637435950395896,1.021775,3,4,0.99,1.05,0.3,2000.0
2024-05-31,EU,0.018687742473862373,0.01961296293841573,1.019059432249412,0.00039954801177747294,0.05885209429517803,3.0061580976944864,0.14694178446805878,0.963791783424041,1.01905,4,3,0.99,1.05,0.3,2000.0
2024-06-28,EU,0.018612940818049584,0.01961296073232098,1.0189832077233127,0.00039948815262079153,0.05885208767243555,3.0061580963083756,0.1252097233852065,0.96523083402971,1.018975,4,3,0.99,1.05,0.3,2000.0
2024-07-31,EU,-0.007089672481518293,0.22030354433875143,1.0173255289806247,0.051468845497072487,0.6801015450738136,3.833532337687468,0.07247501548239901,0.9676740244696947,1.017325,4,3,0.99,1.05,0.3,2000.0
2024-08-31,EU,-0.0029599670909683314,0.2005005410786804,1.0172880036397185,0.042449991551386144,0.6159054936432526,3.6819669593200537,0.06991225541888652,0.9699827414137046,1.017288,4,3,0.99,1.05,0.3,2000.0
2024-09-30,EU,-0.001965269985860653,0.18661035199624737,1.0155663546452265,0.036548690989567006,0.5714112841501797,3.586094885846898,0.0807296568245856,0.9736902932305777,1.015575,4,3,0.99,1.05,0.3,2000.0
2024-10-31,EU,-0.0020991889874868107,0.19495939129781298,1.0170490979520688,0.04007300271736748,0.5981053320520965,3.6427158379727294,0.06442184579105993,0.974432527989548,1.01705,4,3,0.99,1.05,0.3,2000.0
2024-11-30,EU,0.019242333156396754,0.01961296149149708,1.0196247498320012,0.0003999913698044242,0.05885208995149726,3.0061580967853736,0.1363886894906549,0.9767983943234548,1.019615,4,3,0.99,1.05,0.3,2000.0
2024-12-31,EU,-0.0021421097901588807,0.21373080757300233,1.0209140150827734,0.04871579761951959,0.6586901664726578,3.781232058063698,0.10977530493943079,0.9769302710081644,1.020925,3,4,0.99,1.05,0.3,2000.0
2025-01-31,EU,0.002975887345349729,0.1911970511090542,1.0214815194406761,0.03884952306064436,0.5860577326862177,3.616829114534802,0.07328779104618885,0.97636283937556,1.02149,3,4,0.99,1.05,0.3,2000.0
2025-02-28,EU,0.001053937193002322,0.19535899110574084,1.02034061200994,0.04050148664166853,0.5993867187168823,3.6455013953346134,0.09244265069876233,0.9778490172059748,1.02035,3,4,0.99,1.05,0.3,2000.0
2025-03-31,EU,0.009229854546356676,0.14129135866618564,1.0193972064802532,0.020953677570980232,0.42886163178061804,3.3287696061308374,0.04901799548044271,0.97782554911118,1.0194,4,3,0.99,1.05,0.3,2000.0
2025-04-30,EU,0.0015411825035726069,0.1532205841876548,1.0133680197827737,0.024393631428381992,0.46603392450618075,3.388613388386858,0.061803168769155696,0.98060063715977,1.013375,4,3,0.99,1.05,0.3,2000.0
2025-05-31,EU,0.003451459054376561,0.13864036284393277,1.0131477151770139,0.019920737675887593,0.4206313190566133,3.3162065635068547,0.046925780131265915,0.9804388514023308,1.01315,4,3,0.99,1.05,0.3,2000.0
2025-06-30,EU,0.0047841410074879335,0.15235350413491103,1.016524987942976,0.024265603379469706,0.4633242490432008,3.384079036255617,0.053090865746777516,0.9801986733067553,1.016525,4,3,0.99,1.05,0.3,2000.0
2025-07-31,EU,-0.004928390446368382,0.20790909908638192,1.0168246733600863,0.04567298588238762,0.6398130683934731,3.7365760623531266,0.06701937592983874,0.9795029792493228,1.016825,4,3,0.99,1.05,0.3,2000.0
2025-08-29,EU,0.018416236926597315,0.019612960501544763,1.018782789468589,0.00039933101237978047,0.05885208697964263,3.006158096163377,0.12047027421797465,0.9796033834503232,1.018775,4,3,0.99,1.05,0.3,2000.0
