date,area,K0_swap_mean,raw_m2,raw_m3,raw_m4,mean,variance,skewness,kurtosis,tail_frac,winsor_q,Kmin_used_put,Kmax_used_call,n_puts,n_calls
2021-10-29,EU,1.0297,1.0603170136406719,1.091880496602556,1.1244208974347805,1.0297,3.4923640671813416e-05,0.7069834287334898,10.344523089645055,0.6,,0.9661799999999999,1.0621800000000001,5,4
2021-11-30,EU,1.028438,1.057707838240217,1.0878344398235744,1.1188434991908813,1.028438,2.3118396216936787e-05,-0.4101845374667678,15.564810360708073,0.6,,0.9669372,1.0629372000000001,5,4
2023-01-31,EU,1.023305,1.047387737619772,1.072276702942355,1.0980017719287145,1.023305,0.00023461459477225333,-0.15874743174318376,6.894988044785713,0.6,,0.970017,1.0660170000000002,5,4
2023-02-28,EU,1.029545,1.0603087066208607,1.092352768849519,1.1257424050959857,1.029545,0.00034579959586089615,0.8100611000603851,3.184141205375226,0.6,,0.966273,1.062273,5,4
2023-05-31,EU,1.027762,1.0565425737047496,1.0863835985509827,1.1173290678117054,1.027762,0.0002478450607494853,-0.04140489048656586,6.408016252116389,0.6,,0.9673428,1.0633428,5,4
2023-06-30,EU,1.0276,1.0562084160407699,1.0858653017465036,1.1166126827160845,1.0276,0.0002466560407696772,-0.3598715916346687,6.874608620664206,0.6,,0.96744,1.06344,5,4
2023-07-31,EU,1.027175,1.0553275871259553,1.084498056160999,1.1147287530407728,1.027175,0.00023910650095548824,0.19836384107343596,6.412651542268749,0.6,,0.967695,1.063695,5,4
2023-08-31,EU,1.029588,1.0602825863203627,1.0921283940033872,1.1251721646699673,1.029588,0.00023113657636275597,-0.507787884202824,6.312871233081893,0.6,,0.9662472,1.0622472,5,4
2023-09-29,EU,1.028612,1.0583462696585952,1.0892515003951584,1.1213789090032027,1.028612,0.00030362311459497526,-0.14998187486775671,4.931770972631069,0.6,,0.9668327999999999,1.0628328,5,4
2023-10-31,EU,1.0265,1.0538878777592382,1.0821950780643912,1.1114544141261569,1.0265,0.00018562775923824937,-0.7600539109118473,8.615917086472074,0.6,,0.9681,1.0641,5,4
2023-11-30,EU,1.019063,1.0386820800558407,1.0588751967372623,1.0796611303274244,1.019063,0.00019268208684053434,0.0036709493239438407,7.293599374008043,0.6,,0.9725621999999999,1.0685622000000001,4,5
2023-12-29,EU,1.015938,1.032317265572779,1.04915212359953,1.0664576085865551,1.015938,0.00018724572877903967,0.5172628339541807,7.792735443834857,0.6,,0.9744372,1.0704372,4,5
2024-01-31,EU,1.017,1.0344850789394198,1.05247216379646,1.0709790173856562,1.017,0.00019607893941997467,0.7335044521377536,7.162224707567653,0.6,,0.9738,1.0698,4,5
2024-02-29,EU,1.02175,1.0441565911534583,1.0672412824331705,1.091026525927905,1.02175,0.00018352865345838687,-0.30381580644352557,7.841483759277492,0.6,,0.97095,1.06695,5,4
2024-03-29,EU,1.022238,1.0452052596768608,1.0689264369246232,1.093427305056623,1.022238,0.00023473103286097974,-0.5559271345400297,6.392412700257858,0.6,,0.9706572,1.0666572,5,4
2024-04-30,EU,1.021775,1.0442547651278036,1.0674627367152278,1.0914234027401568,1.021775,0.00023061450280326135,-0.5562902959019401,6.307246075370038,0.6,,0.9709349999999999,1.066935,5,4
2024-05-31,EU,1.01905,1.0385675018413039,1.0585649066012897,1.0790550801591543,1.01905,0.00010459934130380155,-0.4581024015840475,13.0417951674516,0.6,,0.9725699999999999,1.06857,4,5
2024-06-28,EU,1.018975,1.0383936663852458,1.0582671905877377,1.07860714853375,1.018975,8.361576024573658e-05,-0.5236171572580118,14.962162198116703,0.6,,0.972615,1.068615,4,5
2024-07-31,EU,1.017325,1.0350268917408534,1.053114485123911,1.0715968943766767,1.017325,7.673611585334861e-05,-0.5633046982083629,17.369115747062153,0.6,,0.9736049999999999,1.0696050000000001,4,5
2024-08-31,EU,1.017288,1.0349419751149094,1.0529699151054879,1.071380048694624,1.017288,6.710017090938436e-05,-1.1958041221931262,16.604411177633004,0.6,,0.9736272,1.0696272,4,5
2024-09-30,EU,1.015575,1.0314508761121732,1.047633205178167,1.0641277005394225,1.015575,5.829548717350974e-05,-2.07867733614515,14.84442959549437,0.6,,0.974655,1.0706550000000001,4,5
2024-10-31,EU,1.01705,1.0344568628506126,1.052228314370158,1.0703723237759903,1.01705,6.616035061246528e-05,-1.142377864551931,19.514777849696163,0.6,,0.97377,1.06977,4,5
2024-11-30,EU,1.019615,1.0397006761736918,1.0602688542125638,1.081331750989317,1.019615,8.592794869199949e-05,-0.9762041964480427,14.328325682066202,0.6,,0.9722310000000001,1.0682310000000002,4,5
2024-12-31,EU,1.020925,1.0423577354844191,1.0643109313456978,1.0867976748804915,1.020925,6.987985941897534e-05,-1.410490040793693,11.481643114869605,0.6,,0.9714449999999999,1.067445,5,4
2025-01-31,EU,1.02149,1.0435097059373823,1.0660719336038238,1.0891898596148943,1.02149,6.788583738237541e-05,-2.6555342386658127,18.9038441605544,0.6,,0.971106,1.067106,5,4
2025-02-28,EU,1.02035,1.0411802262224181,1.0625023806824538,1.0843285143693098,1.02035,6.610372241788731e-05,-1.4159615118111186,17.203125409902285,0.6,,0.9717899999999999,1.06779,5,4
2025-03-31,EU,1.0194,1.039220004594927,1.0594689481226356,1.080155985896828,1.0194,4.364459492678385e-05,-3.1462189538307213,26.86208278860276,0.6,,0.9723599999999999,1.06836,4,5
2025-04-30,EU,1.013375,1.0269763146202917,1.04080773508928,1.0548731485641671,1.013375,4.742399529189534e-05,-1.5442239676693148,17.788023685138818,0.6,,0.975975,1.0719750000000001,4,5
2025-05-31,EU,1.01315,1.0265145241765776,1.040097438768988,1.0539027162891532,1.01315,4.1601676577629476e-05,-0.1821566593536188,20.672711066839792,0.6,,0.97611,1.0721100000000001,4,5
2025-07-31,EU,1.016825,1.0340049299715985,1.0515478904037006,1.0694622598865566,1.016825,7.184934659831832e-05,-0.4744287504902656,18.475637037847775,0.6,,0.9739049999999999,1.069905,4,5
2025-08-29,EU,1.018775,1.0379819387540579,1.0576315818296096,1.0777350618378716,1.018775,7.943812905786274e-05,-0.4618314949080577,15.740907178358961,0.6,,0.972735,1.068735,4,5
