date,area,instrument,mean,variance,skewness,kurtosis,B,K_star,Kmin,Kmax,n_strikes
2023-07-31,EU,two_sided,1.0224742849992607,0.00022957391031039586,-0.11013247419900118,2.1065535907150696,0.960626118830288,1.027175,0.99,1.05,7
2023-09-29,EU,two_sided,1.025254532719706,0.00027239365471808666,-0.3562200137903725,2.0186319291365105,0.9593723600018154,1.028612,0.99,1.05,7
2023-10-31,EU,two_sided,1.0297633839199414,0.0002046801032523826,-0.5646344521716751,2.3971622036069755,0.9606914436273865,1.0265,0.99,1.05,7
2023-11-30,EU,two_sided,1.0201770723307044,0.00029396072752505074,-0.012011933612694037,1.8245623706322989,0.962378937453658,1.019063,0.99,1.05,7
2023-12-29,EU,two_sided,1.0133957872493293,0.00025638814276442975,0.43879488913821213,2.1388403728977474,0.9660371383613352,1.015938,0.99,1.05,7
2024-01-31,EU,two_sided,1.017529455159329,0.0002464997673046308,0.502142864789664,2.154157393032281,0.9660496969257644,1.017,0.99,1.05,7
2024-02-29,EU,two_sided,1.0200188584783736,0.00022141729465543597,-0.0007111123710892286,2.150341409977803,0.9636587893347318,1.02175,0.99,1.05,7
2024-03-29,EU,two_sided,1.0228370707204557,0.00029195479854768233,-0.19558061199805443,1.8643704302947912,0.9644801764844834,1.022238,0.99,1.05,7
2024-04-30,EU,two_sided,1.0224590188789535,0.0002939569949734989,-0.16974344121231222,1.8483819851751333,0.9637435950395896,1.021775,0.99,1.05,7
2024-05-31,EU,two_sided,1.019527747851138,0.00019104130753982686,0.005961188760267744,2.2874550226693486,0.963791783424041,1.01905,0.99,1.05,7
2024-06-28,EU,two_sided,1.0190683603649249,0.00016022681394572638,-0.02659847535599047,2.3745831614623496,0.96523083402971,1.018975,0.99,1.05,7
2024-07-31,EU,two_sided,1.0162956729190347,0.00015097553475661355,-0.08017691565727503,2.2729630858220675,0.9676740244696947,1.017325,0.99,1.05,7
2024-08-31,EU,two_sided,1.0163468485660143,0.00014427869509534778,-0.10350418145837426,2.295135574203986,0.9699827414137046,1.017288,0.99,1.05,7
2024-09-30,EU,two_sided,1.0175296869687422,0.0001048871505044342,-0.7666691162532653,3.0681831897719265,0.9736902932305777,1.015575,0.99,1.05,7
2024-10-31,EU,two_sided,1.0163864521299208,0.0001367476768007371,-0.12819746849713698,2.320196224161218,0.974432527989548,1.01705,0.99,1.05,7
2024-11-30,EU,two_sided,1.0208190888050452,0.00016408190780632697,0.01835496095923106,2.371001120005259,0.9767983943234548,1.019615,0.99,1.05,7
2024-12-31,EU,two_sided,1.0231435670578812,0.00021396057382730264,-0.11224357585779698,2.1582216940337746,0.9769302710081644,1.020925,0.99,1.05,7
2025-01-31,EU,two_sided,1.0238220587357758,0.0001341072861766856,0.13878322804844867,2.3174164740502277,0.97636283937556,1.02149,0.99,1.05,7
2025-02-28,EU,two_sided,1.0215785763373724,0.00016049386402919788,0.03983157897116196,2.35170390649263,0.9778490172059748,1.02035,0.99,1.05,7
2025-04-30,EU,two_sided,1.0124801947154727,0.00012830689343089336,-0.10791997826547273,2.093655330672171,0.98060063715977,1.013375,0.99,1.05,7
2025-05-31,EU,two_sided,1.013244898801045,7.933515341449144e-05,0.25916673317526895,2.4364909441914917,0.9804388514023308,1.01315,0.99,1.05,7
2025-07-31,EU,two_sided,1.0156117565371257,0.00014540240847025923,-0.09681802728094757,2.249094410037827,0.9795029792493228,1.016825,0.99,1.05,7
2025-08-29,EU,two_sided,1.0185788098624076,0.00015369557937351512,-0.049097652829337646,2.3711979920685913,0.9796033834503232,1.018775,0.99,1.05,7
